Source Name,Sample Name,Characteristics: Repetition Number,Characteristics: Organism,Characteristics: developmental stage,Characteristics: ecotype,Characteristics: Variety,Characteristics: genotype,Factor Value: Organism Part,Factor Value: Spaceflight,Protocol REF,Parameter Value: Hardware,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: Mean Growth Temperature,Parameter Value: light cycle,Parameter Value: Light Color,Parameter Value: Growth Time,Protocol REF,Parameter Value: Age at sample harvest,Parameter Value: Sample Preservation Method,Parameter Value: Sample Preservation Temperature
G4S2,Atha_WS-0_Col-0_Shoot_GC_Rep4,Rep 4,Arabidopsis thaliana,12 day old seedling shoots,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,Plant Shoots,Ground Control,growth protocol,Advanced Biological Research System (ABRS),Orbital Environmental Simulator,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
G6S2,Atha_WS-0_Col-0_Shoot_GC_Rep5,Rep 5,Arabidopsis thaliana,12 day old seedling shoots,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,Plant Shoots,Ground Control,growth protocol,Advanced Biological Research System (ABRS),Orbital Environmental Simulator,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
F2H1,Atha_WS-0_Col-0_Hypocotyl_FLT_Rep1,Rep 1,Arabidopsis thaliana,12 day old seedling hypocotyl,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,hypocotyl,Space Flight,growth protocol,Advanced Biological Research System (ABRS),Space Shuttle Discovery STS-131/ISS,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
F4H1,Atha_WS-0_Col-0_Hypocotyl_FLT_Rep2,Rep 2,Arabidopsis thaliana,12 day old seedling hypocotyl,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,hypocotyl,Space Flight,growth protocol,Advanced Biological Research System (ABRS),Space Shuttle Discovery STS-131/ISS,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
F6H1,Atha_WS-0_Col-0_Hypocotyl_FLT_Rep3,Rep 3,Arabidopsis thaliana,12 day old seedling hypocotyl,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,hypocotyl,Space Flight,growth protocol,Advanced Biological Research System (ABRS),Space Shuttle Discovery STS-131/ISS,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
F4H2,Atha_WS-0_Col-0_Hypocotyl_FLT_Rep4,Rep 4,Arabidopsis thaliana,12 day old seedling hypocotyl,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,hypocotyl,Space Flight,growth protocol,Advanced Biological Research System (ABRS),Space Shuttle Discovery STS-131/ISS,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
F6H2,Atha_WS-0_Col-0_Hypocotyl_FLT_Rep5,Rep 5,Arabidopsis thaliana,12 day old seedling hypocotyl,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,hypocotyl,Space Flight,growth protocol,Advanced Biological Research System (ABRS),Space Shuttle Discovery STS-131/ISS,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
G2H1,Atha_WS-0_Col-0_Hypocotyl_GC_Rep1,Rep 1,Arabidopsis thaliana,12 day old seedling hypocotyl,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,hypocotyl,Ground Control,growth protocol,Advanced Biological Research System (ABRS),Orbital Environmental Simulator,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
G4H1,Atha_WS-0_Col-0_Hypocotyl_GC_Rep2,Rep 2,Arabidopsis thaliana,12 day old seedling hypocotyl,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,hypocotyl,Ground Control,growth protocol,Advanced Biological Research System (ABRS),Orbital Environmental Simulator,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
G6H1,Atha_WS-0_Col-0_Hypocotyl_GC_Rep3,Rep 3,Arabidopsis thaliana,12 day old seedling hypocotyl,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,hypocotyl,Ground Control,growth protocol,Advanced Biological Research System (ABRS),Orbital Environmental Simulator,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
G4H2,Atha_WS-0_Col-0_Hypocotyl_GC_Rep4,Rep 4,Arabidopsis thaliana,12 day old seedling hypocotyl,Wasselewskija and Col-0,"60% WS, 40% Col-0 WT",Wild Type,hypocotyl,Ground Control,growth protocol,Advanced Biological Research System (ABRS),Orbital Environmental Simulator,solid 0.5x Murashige and Skoog media plates,23 degree Celsius,Not Available,white,12 day,sample collection,12 day,RNALater,less than -40 degree Celsius
