Source Name,Sample Name,Characteristics: Organism,Characteristics: Strain,Characteristics: Material Type,Characteristics: Seed Source,Characteristics: Run Number,Factor Value: Organism Part,Factor Value: Altered Gravity,Factor Value: Genotype,Factor Value: Spaceflight,Factor Value: Treatment,Protocol REF,Parameter Value: Hardware,Parameter Value: light source,Parameter Value: Growth Medium,Parameter Value: growth environment,Parameter Value: Growth Time,Parameter Value: Growth Light Color,Parameter Value: Mean Growth Temperature,Parameter Value: Growth Light Cycle,Parameter Value: Light Intensity,Protocol REF,Parameter Value: Treatment Light Color,Parameter Value: Treatment Light Source,Parameter Value: Light Treatment Duration,Parameter Value: Gravity Treatment Duration,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Parameter Value: Age at sample harvest,Protocol REF,Parameter Value: ionizing radiation,Parameter Value: absorbed radiation dose,Parameter Value: absorbed radiation dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation categorized by source,Parameter Value: vehicle
004cm3,004cm3,Arabidopsis thaliana,Col-0,mature root,Lehle Seed Co.,1,mature root,0.004G by centrifugation,Wild Type,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004cm4,004cm4,Arabidopsis thaliana,Col-0,root tip,Lehle Seed Co.,1,root tip,0.004G by centrifugation,Wild Type,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004cr1,004cr1,Arabidopsis thaliana,Col-0,root tip,Lehle Seed Co.,1,root tip,0.004G by centrifugation,Wild Type,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004cr2,004cr2,Arabidopsis thaliana,Col-0,root tip,Lehle Seed Co.,1,root tip,0.004G by centrifugation,Wild Type,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004cr3,004cr3,Arabidopsis thaliana,Col-0,root tip,Lehle Seed Co.,1,root tip,0.004G by centrifugation,Wild Type,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004cr4,004cr4,Arabidopsis thaliana,Col-0,cotyledon,Lehle Seed Co.,1,cotyledon,0.004G by centrifugation,Wild Type,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004pc1,004pc1,Arabidopsis thaliana,Col-0,cotyledon,Arabidopsis Biological Resource Center line CS210,1,cotyledon,0.004G by centrifugation,pgm-1,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004pc2,004pc2,Arabidopsis thaliana,Col-0,cotyledon,Arabidopsis Biological Resource Center line CS210,1,cotyledon,0.004G by centrifugation,pgm-1,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004pc3,004pc3,Arabidopsis thaliana,Col-0,cotyledon,Arabidopsis Biological Resource Center line CS210,1,cotyledon,0.004G by centrifugation,pgm-1,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004pc4,004pc4,Arabidopsis thaliana,Col-0,hypocotyl,Arabidopsis Biological Resource Center line CS210,1,hypocotyl,0.004G by centrifugation,pgm-1,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004ph1,004ph1,Arabidopsis thaliana,Col-0,hypocotyl,Arabidopsis Biological Resource Center line CS210,1,hypocotyl,0.004G by centrifugation,pgm-1,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004ph2,004ph2,Arabidopsis thaliana,Col-0,hypocotyl,Arabidopsis Biological Resource Center line CS210,1,hypocotyl,0.004G by centrifugation,pgm-1,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004ph3,004ph3,Arabidopsis thaliana,Col-0,hypocotyl,Arabidopsis Biological Resource Center line CS210,1,hypocotyl,0.004G by centrifugation,pgm-1,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004ph4,004ph4,Arabidopsis thaliana,Col-0,mature root,Arabidopsis Biological Resource Center line CS210,1,mature root,0.004G by centrifugation,pgm-1,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
004pm1,004pm1,Arabidopsis thaliana,Col-0,mature root,Arabidopsis Biological Resource Center line CS210,1,mature root,0.004G by centrifugation,pgm-1,Space Flight,Light Treatment 1,growth protocol,European Modular Cultivation System (EMCS),Light Emitting Diode Device,"Filters were pre-soaked in 0.5x Murashige-Skoog salts, 1 mM MES, pH 5.7 and rehydrated on orbit with sterile, reagent-grade water",ISS-Columbus,5 day,white,23.5 degree Celsius,24 white light hour,60 micromole per square meter per second,treatment protocol,blue,Light Emitting Diode Device,12 hour,12 hour,sample collection,freezing,-80 degree Celsius,5 day,radiation dosimetry,space radiation,1.75352 milligray,0.292253 milligray per day,5 day,outer space,ISS-Columbus
