Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: ecotype,Term Source REF,Term Accession Number,Factor Value: Genotype,Term Source REF,Term Accession Number,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Factor Value: Altered Gravity,Term Source REF,Term Accession Number,Factor Value: Treatment,Characteristics: Launch Mission,Characteristics: Mission Return,Characteristics: Mission Duration (between launch and landing),Unit,Term Source REF,Term Accession Number,Characteristics: Time between launch and sample harvest,Unit,Term Source REF,Term Accession Number,Characteristics: Seed Source,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Hardware,Parameter Value: growth environment,Term Source REF,Term Accession Number,Parameter Value: Growth Time Start Date (MM/DD/YYYY),Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Parameter Value: Growth Light Color,Term Source REF,Term Accession Number,Parameter Value: Growth Medium,Parameter Value: light source,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Actual Gravity Level,Term Source REF,Term Accession Number,Comment: Light Treatment Description,Parameter Value: Treatment Light Color,Parameter Value: Treatment Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: Launch Date (MM/DD/YY),Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: Sample Harvest Date (MM/DD/YYYY),Comment: Run,Protocol REF,Parameter Value: vehicle,Term Source REF,Term Accession Number,Parameter Value: absorbed radiation dose,Unit,Term Source REF,Term Accession Number,Parameter Value: absorbed radiation dose rate,Unit,Term Source REF,Term Accession Number,Parameter Value: absorbed radiation dose (from launch to sample harvest),Unit,Term Source REF,Term Accession Number,Parameter Value: exposure duration,Unit,Term Source REF,Term Accession Number,Parameter Value: ionizing radiation,Term Source REF,Term Accession Number,Parameter Value: ionizing radiation categorized by source,Term Source REF,Term Accession Number
Sample 174,Athaliana_PhyA_Sample_174_0-88G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,1G by centrifugation,,,Light Treatment 1,SpaceX-2,SpaceX-3,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,84 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,05/18/13,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0.88G,,,"Seedlings were illuminated under white light (30-40 micromoles per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light. Light sources were LEDs",Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,03/01/13,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/24/13,SG1 Run 4,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,2.012 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.355 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,29.82 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 234,Athaliana_PhyA_Sample_234_0-92G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,1G by centrifugation,,,Light Treatment 1,SpaceX-4,SpaceX-5,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,61 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,11/15/14,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0.92G,,,"Seedlings were illuminated under white light (30-40 micromoles per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light. Light sources were LEDs",Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,09/21/14,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11/21/14,SG2 Run 2,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,1.764 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.294 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,17.934 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 117,Athaliana_PhyA_Sample_117_0G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,uG,,,Light Treatment 2,SpaceX-2,SpaceX-3,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,28 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,03/23/13,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0G,,,"Seedlings were illuminated under white light (30-40 micromole per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light and exposed to a short red light treatment also (but the main illumination stimuli is still blue light. Light sources were LEDs",Red and Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,03/01/13,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,03/29/13,SG1 Run 1,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,2.066 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.344 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,9.632 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 119,Athaliana_PhyA_Sample_119_0G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,uG,,,Light Treatment 2,SpaceX-4,SpaceX-5,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,28 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,03/23/13,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0G,,,"Seedlings were illuminated under white light (30-40 micromole per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light and exposed to a short red light treatment also (but the main illumination stimuli is still blue light. Light sources were LEDs",Red and Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,09/21/14,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,03/29/13,SG1 Run 1,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,2.066 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.344 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,9.632 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 137,Athaliana_PhyA_Sample_137_0-08G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.1G by centrifugation,,,Light Treatment 2,SpaceX-4,SpaceX-5,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,69 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,05/03/13,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0.08G,,,"Seedlings were illuminated under white light (30-40 micromole per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light and exposed to a short red light treatment also (but the main illumination stimuli is still blue light. Light sources were LEDs",Red and Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,09/21/14,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/09/13,SG1 Run 2,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,2.081 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.347 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,23.943 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 140,Athaliana_PhyA_Sample_140_0-13G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.1G by centrifugation,,,Light Treatment 2,SpaceX-4,SpaceX-5,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,69 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,05/03/13,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0.13G,,,"Seedlings were illuminated under white light (30-40 micromole per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light and exposed to a short red light treatment also (but the main illumination stimuli is still blue light. Light sources were LEDs",Red and Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,09/21/14,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/09/13,SG1 Run 2,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,2.081 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.347 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,23.943 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 157,Athaliana_PhyA_Sample_157_0-25G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.25G by centrifugation,,,Light Treatment 2,SpaceX-2,SpaceX-3,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,72 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,05/12/13,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0.25G,,,"Seedlings were illuminated under white light (30-40 micromole per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light and exposed to a short red light treatment also (but the main illumination stimuli is still blue light. Light sources were LEDs",Red and Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,03/01/13,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/18/13,SG1 Run 3,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,2.056 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.343 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,24.696 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 159,Athaliana_PhyA_Sample_159_0-34G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.38G by centrifugation,,,Light Treatment 2,SpaceX-2,SpaceX-3,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,72 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,05/12/13,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0.34G,,,"Seedlings were illuminated under white light (30-40 micromole per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light and exposed to a short red light treatment also (but the main illumination stimuli is still blue light. Light sources were LEDs",Red and Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,03/01/13,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/18/13,SG1 Run 3,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,2.056 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.343 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,24.696 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 217,Athaliana_PhyA_Sample_217_0-42G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.38G by centrifugation,,,Light Treatment 2,SpaceX-4,SpaceX-5,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,54 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,11/08/14,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0.42G,,,"Seedlings were illuminated under white light (30-40 micromole per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light and exposed to a short red light treatment also (but the main illumination stimuli is still blue light. Light sources were LEDs",Red and Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,09/21/14,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11/14/14,SG2 Run 1,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,1.763 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.294 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,15.876 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 219,Athaliana_PhyA_Sample_219_0-58G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.64G by centrifugation,,,Light Treatment 2,SpaceX-4,SpaceX-5,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,54 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,11/08/14,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0.58G,,,"Seedlings were illuminated under white light (30-40 micromole per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light and exposed to a short red light treatment also (but the main illumination stimuli is still blue light. Light sources were LEDs",Red and Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,09/21/14,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11/14/14,SG2 Run 1,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,1.763 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.294 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,15.876 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 177,Athaliana_PhyA_Sample_177_0-64G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.64G by centrifugation,,,Light Treatment 2,SpaceX-2,SpaceX-3,443 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,84 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,05/18/13,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0.64G,,,"Seedlings were illuminated under white light (30-40 micromole per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light and exposed to a short red light treatment also (but the main illumination stimuli is still blue light. Light sources were LEDs",Red and Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,03/01/13,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,05/24/13,SG1 Run 4,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,2.012 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.355 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,29.82 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
Sample 237,Athaliana_PhyA_Sample_237_0-68G,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Landsberg erecta,,,Phytochrome A mutant,,,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,0.64G by centrifugation,,,Light Treatment 2,SpaceX-4,SpaceX-5,147 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,61 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Not Available,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101,growth protocol,European Modular Cultivation System (EMCS),ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,11/15/14,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,White,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48325,1/2 Murashige and Skoog medium (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,treatment protocol,0.68G,,,"Seedlings were illuminated under white light (30-40 micromole per square meter per second) for 96 h, followed by 48 hours of unidirectional photostimulation with blue light and exposed to a short red light treatment also (but the main illumination stimuli is still blue light. Light sources were LEDs",Red and Blue,30-40 micromole per square meter per second,micromole per square meter per second,GLDS,https://genelab-data.ndc.nasa.gov/,09/21/14,sample collection protocol,RNALater,NCIT,http://purl.obolibrary.org/obo/NCIT_C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,11/21/14,SG2 Run 2,radiation dosimetry,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,1.763 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,0.294 milligray per day,milligray per day,UO,http://purl.obolibrary.org/obo/UO_0010063,17.934 milligray,milligray,UO,http://purl.obolibrary.org/obo/UO_0000142,6 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,space radiation,RBO,http://purl.obolibrary.org/obo/RBO_00000002,outer space,RBO,http://purl.obolibrary.org/obo/ENVO_01000637
